Iteration,Interval,Density
158000,14.5;15,0
158000,15;15.5,0
158000,15.5;16,0
159000,0;0.5,0
159000,0.5;1,38.1972
159000,1;1.5,177.516
159000,1.5;2,109.43
159000,2;2.5,118.756
159000,2.5;3,99.3756
159000,3;3.5,91.3725
159000,3.5;4,81.6832
159000,4;4.5,73.2083
159000,4.5;5,63.8851
159000,5;5.5,56.2283
159000,5.5;6,49.5216
159000,6;6.5,41.6219
159000,6.5;7,35.9277
159000,7;7.5,29.1988
159000,7.5;8,23.9196
159000,8;8.5,18.3435
159000,8.5;9,13.8553
159000,9;9.5,9.14761
159000,9.5;10,5.7664
159000,10;10.5,3.485
159000,10.5;11,2.03516
159000,11;11.5,1.09638
159000,11.5;12,0.54057
159000,12;12.5,0.232237
159000,12.5;13,0.0871233
159000,13;13.5,0.0317252
159000,13.5;14,0.00505031
159000,14;14.5,0.000783693
159000,14.5;15,0
159000,15;15.5,0
159000,15.5;16,0
160000,0;0.5,0
160000,0.5;1,33.2861
160000,1;1.5,174.702
160000,1.5;2,114.901
160000,2;2.5,116.407
160000,2.5;3,101.013
160000,3;3.5,91.5229
160000,3.5;4,82.9263
160000,4;4.5,73.0587
160000,4.5;5,64.9141
160000,5;5.5,56.4707
160000,5.5;6,49.5746
160000,6;6.5,41.8011
160000,6.5;7,35.5506
160000,7;7.5,29.562
160000,7.5;8,23.5488
160000,8;8.5,18.4674
160000,8.5;9,13.4958
160000,9;9.5,9.1253
160000,9.5;10,5.67601
160000,10;10.5,3.50469
160000,10.5;11,2.00212
160000,11;11.5,1.02471
160000,11.5;12,0.503686
160000,12;12.5,0.230116
160000,12.5;13,0.0881022
160000,13;13.5,0.0317252
160000,13.5;14,0.00841719
160000,14;14.5,0.000783693
160000,14.5;15,0.00146293
160000,15;15.5,0
160000,15.5;16,0
161000,0;0.5,0
161000,0.5;1,35.4688
161000,1;1.5,175.808
161000,1.5;2,111.185
161000,2;2.5,117.19
161000,2.5;3,100.614
161000,3;3.5,90.9514
161000,3.5;4,81.5137
161000,4;4.5,71.8178
161000,4.5;5,64.2093
161000,5;5.5,56.8284
161000,5.5;6,48.8145
161000,6;6.5,41.8133
161000,6.5;7,35.7845
161000,7;7.5,29.7224
161000,7.5;8,23.5911
161000,8;8.5,18.6124
161000,8.5;9,13.6683
