Iteration,Interval,Density
160000,15.5;16,0
161000,0;0.5,0
161000,0.5;1,43.9268
161000,1;1.5,171.787
161000,1.5;2,116.811
161000,2;2.5,117.785
161000,2.5;3,100.614
161000,3;3.5,95.6885
161000,3.5;4,81.6606
161000,4;4.5,74.3261
161000,4.5;5,64.8859
161000,5;5.5,57.2785
161000,5.5;6,49.0983
161000,6;6.5,42.7295
161000,6.5;7,35.198
161000,7;7.5,29.6982
161000,7.5;8,23.2256
161000,8;8.5,18.257
161000,8.5;9,13.2984
161000,9;9.5,8.87238
161000,9.5;10,5.63417
161000,10;10.5,3.37141
161000,10.5;11,1.96494
161000,11;11.5,1.04483
161000,11.5;12,0.478329
161000,12;12.5,0.222693
161000,12.5;13,0.0822287
161000,13;13.5,0.035351
161000,13.5;14,0.0117841
161000,14;14.5,0.00391846
161000,14.5;15,0.00146293
161000,15;15.5,0
161000,15.5;16,0
162000,0;0.5,0
162000,0.5;1,44.1996
162000,1;1.5,171.787
162000,1.5;2,117.895
162000,2;2.5,117.128
162000,2.5;3,103.489
162000,3;3.5,93.6132
162000,3.5;4,84.1355
162000,4;4.5,74.4053
162000,4.5;5,66.2601
162000,5;5.5,57.0246
162000,5.5;6,49.5168
162000,6;6.5,42.3875
162000,6.5;7,35.404
162000,7;7.5,28.9717
162000,7.5;8,23.1964
162000,8;8.5,17.9648
162000,8.5;9,13.1841
162000,9;9.5,8.78498
162000,9.5;10,5.64589
162000,10;10.5,3.3396
162000,10.5;11,2.02828
162000,11;11.5,1.01717
162000,11.5;12,0.494466
162000,12;12.5,0.23966
162000,12.5;13,0.0841865
162000,13;13.5,0.0317252
162000,13.5;14,0.0143092
162000,14;14.5,0.00235108
162000,14.5;15,0
162000,15;15.5,0
162000,15.5;16,0
163000,0;0.5,0
163000,0.5;1,49.3835
163000,1;1.5,169.877
163000,1.5;2,115.417
163000,2;2.5,115.531
163000,2.5;3,101.474
163000,3;3.5,93.3275
163000,3.5;4,83.028
163000,4;4.5,73.7628
163000,4.5;5,65.5977
163000,5;5.5,56.9034
163000,5.5;6,48.9684
