Iteration,Bin,Density,Velocity X,Velocity Y,Velocity Z
30000,28,0.606481,-0.303765,-10.5369,0.441219
30000,29,0.560185,0.382955,-9.08438,-0.298641
30000,30,0.592593,-0.359748,-9.85297,0.269028
30000,31,0.560185,-0.702403,-10.0025,0.93699
30000,32,0.62963,-0.865407,-8.68013,-0.191397
30000,33,0.564815,-0.114936,-8.70041,0.00508315
30000,34,0.587963,0.761649,-7.89155,-0.970847
30000,35,0.564815,-0.649935,-7.20799,-0.325782
30000,36,0.587963,1.16461,-6.37966,0.48531
30000,37,0.592593,0.326825,-7.78104,-0.63212
30000,38,0.518519,-1.84485,-6.92033,-0.345288
30000,39,0.490741,-0.851406,-4.94872,-0.708171
30000,40,0.550926,0.0607189,-5.2885,0.275511
30000,41,0.523148,0.12917,-6.00281,0.644111
30000,42,0.564815,0.385138,-3.68939,0.203971
30000,43,0.648148,-0.145468,-3.03173,-1.29405
30000,44,0.101852,-0.643462,-3.78695,-0.939444
30000,45,1.66667,0,0,0
30000,46,-,-,-,-
30000,47,1.66667,0,0,0
30000,48,-,-,-,-
30000,49,-,-,-,-
40000,0,-,-,-,-
40000,1,1.66667,0,0,0
40000,2,-,-,-,-
40000,3,1.66667,0,0,0
40000,4,0.347222,-0.209907,-4.35997,-0.423666
40000,5,0.532407,0.0925302,-4.40015,-0.4704
40000,6,0.578704,0.0962313,-5.33355,-0.775355
40000,7,0.555556,-0.729775,-5.83265,0.825884
40000,8,0.555556,0.0635454,-7.17631,-0.340658
40000,9,0.513889,-0.514526,-8.4446,-0.0719557
40000,10,0.518519,1.02579,-8.39779,0.642026
40000,11,0.592593,0.459742,-8.62345,-0.487463
40000,12,0.509259,0.301937,-8.70302,-0.016199
40000,13,0.592593,0.0759194,-9.88341,0.017046
40000,14,0.550926,0.334875,-9.69351,-0.269705
40000,15,0.625,-0.452185,-9.74628,1.43053
40000,16,0.601852,-0.254886,-10.0595,0.232478
40000,17,0.541667,0.884304,-10.9969,-0.15767
40000,18,0.578704,0.458974,-11.8386,0.0235132
40000,19,0.625,0.310225,-11.1805,-0.494332
40000,20,0.601852,-0.274484,-11.5048,0.572025
40000,21,0.587963,0.150099,-11.6249,-0.338909
40000,22,0.527778,0.0121044,-12.2066,0.377683
40000,23,0.597222,0.308067,-11.8971,0.380631
40000,24,0.625,0.0157691,-11.9788,-0.294862
40000,25,0.638889,0.0280655,-12.6086,0.106684
40000,26,0.662037,0.344502,-11.7893,-0.0266102
40000,27,0.606481,-0.268973,-11.4024,-0.83046
40000,28,0.652778,-0.390063,-12.1984,-0.356813
40000,29,0.546296,-0.504295,-11.0701,-0.620972
40000,30,0.652778,0.667815,-12.035,0.71274
40000,31,0.574074,0.949624,-10.5962,0.0396014
40000,32,0.569444,0.0313492,-11.6259,0.317943
40000,33,0.666667,-0.916387,-10.2518,-0.234165
40000,34,0.560185,0.0856486,-9.32148,0.381777
40000,35,0.560185,0.299807,-9.77004,-0.358795
40000,36,0.592593,-0.16548,-9.27344,-0.601163
40000,37,0.597222,-0.252497,-8.73721,0.465805
40000,38,0.564815,1.16995,-9.0397,0.327476
40000,39,0.50463,0.564168,-8.39764,0.157173
40000,40,0.638889,0.439156,-6.88938,0.10224
40000,41,0.518519,-0.124549,-6.5743,0.0683557
40000,42,0.550926,-1.28394,-3.39647,0.363083
40000,43,0.662037,-0.701548,-4.07403,0.293379
40000,44,0.0694444,-0.00101508,0.123149,2.3276
40000,45,1.66667,0,0,0
40000,46,-,-,-,-
40000,47,1.66667,0,0,0
40000,48,-,-,-,-
40000,49,-,-,-,-
50000,0,-,-,-,-
50000,1,1.66667,0,0,0
50000,2,-,-,-,-
50000,3,1.66667,0,0,0
50000,4,0.300926,1.35027,-4.40531,-0.170996
50000,5,0.657407,0.481116,-4.58825,0.385903
50000,6,0.490741,-0.998254,-6.39928,-0.49902
50000,7,0.546296,0.340944,-8.01408,0.082977
50000,8,0.555556,-0.696479,-7.29088,0.538391
50000,9,0.541667,0.0154717,-9.1434,0.0893366
50000,10,0.569444,0.846233,-8.47557,-0.296727
50000,11,0.564815,0.697519,-9.42571,-0.3506
50000,12,0.555556,0.251542,-10.9455,0.308586
50000,13,0.601852,-0.583792,-11.7107,0.0990653
